country,x,y
Albania,99.0,-228.0
Andorra,-143.0,-203.0
Austria,-12.0,-119.0
Belarus,122.0,2.0
Belgium,-100.0,-61.0
Bosnia and Herzegovina,49.0,-164.0
Bulgaria,140.0,-185.0
Croatia,37.0,-148.0
Cyprus,287.0,-291.0
Czech Republic,-1.0,-78.0
Denmark,-55.0,34.0
Estonia,89.0,99.0
Finland,68.0,162.0
France,-155.0,-116.0
Germany,-60.0,-48.0
Greece,124.0,-251.0
Hungary,53.0,-122.0
Iceland,-266.0,235.0
Ireland,-241.0,-8.0
Italy,-44.0,-159.0
Kosovo,104.0,-195.0
Latvia,100.0,62.0
Liechtenstein,-52.0,-108.0
Lithuania,82.0,35.0
Luxembourg,-94.0,-82.0
Malta,40.0,-323.0
Moldova,170.0,-90.0
Monaco,-81.0,-189.0
Montenegro,76.0,-190.0
Netherlands,-104.0,-31.0
North Macedonia,113.0,-210.0
Norway,-64.0,102.0
Poland,54.0,-26.0
Portugal,-315.0,-221.0
Romania,130.0,-128.0
Russia,181.0,97.0
San Marino,-11.0,-184.0
Serbia,96.0,-173.0
Slovakia,56.0,-95.0
Slovenia,13.0,-141.0
Spain,-229.0,-232.0
Sweden,8.0,197.0
Switzerland,-75.0,-134.0
Turkey,248.0,-228.0
Ukraine,186.0,-49.0
United Kingdom,-177.0,-16.0
Vatican City,-9.0,-224.0